"number","name","cal","qualifier1","qualifier2","description","comment"
4353,"MAG_HMC1043_MUX_Xp","mag","x","p","multiplexed magnetometer X axis +ve",
4354,"MAG_HMC1043_MUX_Yp","mag","y","p","multiplexed magnetometer Y axis +ve",
4355,"MAG_HMC1043_MUX_Zp","mag","z","p","multiplexed magnetometer Z axis +ve",
4369,"MAG_HMC1043_MUX_Xm","mag","x","m","multiplexed magnetometer X axis -ve",
4370,"MAG_HMC1043_MUX_Ym","mag","y","m","multiplexed magnetometer Y axis -ve",
4371,"MAG_HMC1043_MUX_Zm","mag","z","m","multiplexed magnetometer Z axis -ve",
4609,"ACC_KXSC7_1050_X","acc","x",,"sensor/audio board accelerometer X axis",
4610,"ACC_KXSC7_1050_Y","acc","y",,"sensor/audio board accelerometer Y axis",
4611,"ACC_KXSC7_1050_Z","acc","z",,"sensor/audio board accelerometer Z axis",
4865,"PRES_K1_10B_INA333","press",,,"pressure sensor 10 bar",
4866,"PRES_K1_20B_INA333","press",,,"pressure sensor 20 bar",
4867,"PRES_K1_50B_INA333","press",,,"pressure sensor 50 bar",
4868,"PRES_K1_100B_INA333","press",,,"pressure sensor 100 bar",
4869,"PRES_K1_200B_INA333","press",,,"pressure sensor 200 bar",
8705,"GACC_KXSC7_1050_X","gacc","x","g","gyro board accelerometer X axis",
8706,"GACC_KXSC7_1050_Y","gacc","y","g","gyro board accelerometer Y axis",
8707,"GACC_KXSC7_1050_Z","gacc","z","g","gyro board accelerometer Z axis",
9217,"GYRO_IDG500_X","gyro","x",,"gyroscope X axis",
9218,"GYRO_IDG500_Y","gyro","y",,"gyroscope Y axis",
9219,"GYRO_IDG500_Z","gyro","z",,"gyroscope Z axis",
5121,"NTC_B573V2_22k","tempr","ntc",,"negative temperature coefficient thermistor 22k",
5377,"ECG_DG120_CH1","ecg",1,,"differential ECG sensor gain of 120"," ch. 1"
5378,"ECG_DG120_CH2","ecg",2,,"differential ECG sensor gain of 120"," ch. 2"
5633,"PBRI_K1p_DIV2","press.bridge","p","div2","pressure sensor +ve bridge voltage divided-by-2",
5634,"PBRI_K1m_150","press.bridge","m",150,"pressure sensor -ve bridge voltage 150 ohms sensing resistor",
5635,"PBRI_K1m_200","press.bridge","m",200,"pressure sensor -ve bridge voltage 200 ohms sensing resistor",
5636,"PBRI_K1m_120","press.bridge","m",120,"pressure sensor -ve bridge voltage 120 ohms sensing resistor",
5889,"MBRI_HMC1043p_DIV2","mag.bridge","p","div2","magnetometer +ve bridge voltage divided-by-2",
5890,"MBRI_HMC1043m_15","mag.bridge","m",15,"magnetometer -ve bridge voltage 15 ohms sensing resistor",
5891,"MBRI_HMC1043m_20","mag.bridge","m",20,"magnetometer -ve bridge voltage 20 ohms sensing resistor",
6145,"MAG_TST_0mV","mag.gain",0,,"multiplexed magnetometer preamp 0V input",
6146,"MAG_TST_5mV","mag.gain",0.01,,"multiplexed magnetometer preamp 5mV input",
6147,"MAG_TST_3mV","mag.gain",0,,"multiplexed magnetometer preamp 3mV input",
6401,"CAL_AD5621_50Hz","cal",,,"calibration signal DAC"," 50 Hz LPF"
6657,"VBS_DIV2","batt","div2",,"battery voltage measurement divided-by-2",
6658,"EXT_BUFF_CH1","ext",1,,"buffered external input ch. 1",
6659,"EXT_BUFF_CH2","ext",2,,"buffered external input ch. 2",
9729,"GREF_IDG500_XY","gyro.ref","g","xy","gyroscope reference voltage X-Y axis",
9731,"GREF_IDG500_Z","gyro.ref","g","z","gyroscope reference voltage Z axis",
10241,"GTH_IDG500_XY","gyro.tempr","g","xy","gyroscope thermistor X-Y axis",
10243,"GTH_IDG500_Z","gyro.tempr","g","z","gyroscope thermistor Z axis",
10753,"GVBS_DIV2","batt","div2","g","gyroscope board battery voltage measurement divided-by-2",
12801,"EXT_ACC_KXSC7_1050_X","xacc","x","ext","external accelerometer"," x axis"
12802,"EXT_ACC_KXSC7_1050_Y","xacc","y","ext","external accelerometer"," y axis"
12803,"EXT_ACC_KXSC7_1050_Z","xacc","z","ext","external accelerometer"," z axis"
37377,"D2_AX","acc","x","d2","DTAG2 accelerometer X axis",
37378,"D2_AY","acc","y","d2","DTAG2 accelerometer Y axis",
37379,"D2_AZ","acc","z","d2","DTAG2 accelerometer Z axis",
37121,"D2_MX","mag","x","d2","DTAG2 magnetometer X axis",
37122,"D2_MY","mag","y","d2","DTAG2 magnetometer Y axis",
37123,"D2_MZ","mag","z","d2","DTAG2 magnetometer Z axis",
37633,"D2_PRESS","press","d2",,"DTAG2 pressure sensor Keller TAB1",
37889,"D2_TEMP","tempr","ntc","d2","DTAG2 NTC temperature sensor",
39428,"D2_SWS","sws","d2",,"DTAG2 salt water switch",
39425,"D2_VB","batt","d2",,"DTAG2 battery voltage",
38657,"D2_MB","mag.bridge","d2",,"DTAG2 magnetometer bridge voltage",
38401,"D2_PB","press.bridge","d2",,"DTAG2 pressure bridge voltage",
39321,"DM_PRES_K1_200B","press",,,"Legacy pressure sensor",
39322,"DM_TEMPR_LTC2499_3","tempr",,,"Legacy temperature sensor",
